Acidobacteria bacterium RIFCSPLOWO2_12_FULL_67_14,1797192
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_67_14b,1797193
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_68_19,1797194
Acidobacteria bacterium SCGC AAA003-J17,939175
Acidobacteria bacterium SCGC AAA204-D14,1009880
Acidobacteria bacterium SCGC AAA240-L09,939182
Acidobacteria bacterium SCGC AB-633-N09,1298905
Acidobacteria bacterium SCGC AB-790-B07,1324993
Acidobacteria bacterium SCGC AB-790-M19,1324994
Acidobacteria bacterium SCGC AC-409-B06,1448995
Acidobacteria bacterium SCGC AC-665-F06,1448996
Acidobacteria bacterium SCGC AC-724-N18,1448997
Acidobacteria bacterium SCGC AC-738-L23,1448998
Acidobacteria bacterium SCGC AD-263-O20,1448999
Acidobacteria bacterium SCGC AG-212-P17,1803033
Acidobacteria bacterium SCN 69-37,1660160
Acidobacteria bacterium SJ-16G,1785901
Acidobacteria bacterium SJ-30A,1785902
Acidobacteria bacterium SJ-70G,1785903
Acidobacteria bacterium TP616,451138
Acidobacteria bacterium TP670,451139
Acidobacteria bacterium UBA2140,1953102
Acidobacteria bacterium UBA2161,1953103
Acidobacteria bacterium UBA2167,1953104
Acidobacteria bacterium UBA2990,1953105
Acidobacteria bacterium UBA2994,1953106
Acidobacteria bacterium UBA2999,1953107
Acidobacteria bacterium UBA5166,1953108
Acidobacteria bacterium UBA6628,1953109
Acidobacteria bacterium UBA6911,1953110
Acidobacteria bacterium UBA7540,1953111
Acidobacteria bacterium UBA7541,1953112
Acidobacteria bacterium UBA823,1953113
Acidobacteria bacterium UBA890,1953114
Acidobacteria bacterium UCL-001,1030728
Acidobacteria bacterium UCL-002,1030729
Acidobacteria bacterium UCL-004,1030730
Acidobacteria bacterium UCL-007,1030731
Acidobacteria bacterium UCL-008,1030732
Acidobacteria bacterium UCL-009,1030733
Acidobacteria bacterium UCL-010,1030734
Acidobacteria bacterium UCL-011,1030735
Acidobacteria bacterium UCL-012,1030736
Acidobacteria bacterium UCL-013,1030737
Acidobacteria bacterium UCL-014,1030738
Acidobacteria bacterium UCL-015,1030739
Acidobacteria bacterium UCL-016,1030740
Acidobacteria bacterium UCL-017,1030741
Acidobacteria bacterium UCL-018,1030742
Acidobacteria bacterium UCL-021,1030743
Acidobacteria bacterium UCL-022,1030744
Acidobacteria bacterium UCL-023,1030745
Acidobacteria bacterium UCL-024,1030746
Acidobacteria bacterium UCL-025,1030747
Acidobacteria bacterium UCL-026,1030748
Acidobacteria bacterium UCL-028,1030749
Acidobacteria bacterium UCL-029,1030750
Acidobacteria bacterium UCL-030,1030751
Acidobacteria bacterium UCL-031,1030752
Acidobacteria bacterium UCL-032,1030753
Acidobacteria bacterium UCL-033,1030754
Acidobacteria bacterium UCL-034,1030755
Acidobacteria bacterium UCL-035,1030756
Acidobacteria bacterium UCL-036,1030757
Acidobacteria bacterium UCL-037,1030758
Acidobacteria bacterium UCL-038,1030759
Acidobacteria bacterium UCL-039,1030760
Acidobacteria bacterium UCL-040,1030761
Acidobacteria bacterium UCL-041,1030762
Acidobacteria bacterium UCL-042,1030763
Acidobacteria bacterium UCL-043,1030764
Acidobacteria bacterium UCL-046,1030765
Acidobacteria bacterium UCL-048,1030766
Acidobacteria bacterium UCL-049,1030767
Acidobacteria bacterium UCL-051,1030768
Acidobacteria bacterium UCL-052,1030769
Acidobacteria bacterium UCL-053,1030770
Acidobacteria bacterium UCL-054,1030771
Acidobacteria bacterium UCL-055,1030772
Acidobacteria bacterium UCL-056,1030773
Acidobacteria bacterium UCL-058,1030774
Acidobacteria bacterium UCL-059,1030775
Acidobacteria bacterium UCL-060,1030776
Acidobacteria bacterium UCL-061,1030777
Acidobacteria bacterium UCL-062,1030778
Acidobacteria bacterium UCL-063,1030779
Acidobacteria bacterium UCL-064,1030780
Acidobacteria bacterium UCL-066,1030781
Acidobacteria bacterium UCL-067,1030782
Acidobacteria bacterium UCL-068,1030783
Acidobacteria bacterium UCL-070,1030784
Acidobacteria bacterium UCL-071,1030785
Acidobacteria bacterium UCL-072,1030786
Acidobacteria bacterium UCL-073,1030787
Acidobacteria bacterium UCL-074,1030788
Acidobacteria bacterium UCL-075,1030789
Acidobacteria bacterium UCL-076,1030790
Acidobacteria bacterium UCL-077,1030791
Acidobacteria bacterium UCL-078,1030792
Acidobacteria bacterium UCL-079,1030793
Acidobacteria bacterium UCL-080,1030794
Acidobacteria bacterium UCL-081,1030795
Acidobacteria bacterium UCL-082,1030796
Acidobacteria bacterium UCL-083,1030797
